# CityPath R3
# name  x    y    z    r    duration_sec
A       0    0    550  0    4
B       120  0    520  0    6
C       120  0    510 -350  3
D       200  150  480  0    5
E       220  200  500  0    5
F       310  250  500 -300  3
G       300 -250  500  50   4
H       300 -200  510  70   4
I       250  50   510  0    3
J       250  150  510 -200  6
K       200  100  500 -100  5
L       100 -20   490  0    6
M       300 -50   490  50   4
N       300 -100  490  50   4
O       160 -150  490  0    3
P       50  -100  470  0    4
Q       50  -50   450  0    4
R       0   0     0    0    6
# S       120  100  490  0    3
# T       0    0    0    0    10
