# CityPath R1
# name  x    y    z    r    duration_sec
A       0    0    550  0    4
B       120  0    520  0    6
C       150  -50  510  300  3
D       200 -150  510  80   4
E       220 -200  500  0    6
F       310  150  500 -300  3
G       300  200  500 -50   6
H       300 -100  500  0    6
I       250 -180  495 -300  4
J       350  150  495 -100  7
K       200 -100  490 -100  5
L       100 -80   490  0    6
M       100 -50   500  0    5
N       80   20   510  0    4
O       60   50   510 -100  3
P      -20   20   490  0    3
Q       150  100  490 -200  4
R       100  100  480  0    3
S       120  100  470  0    3
T       0    0    0    0    10
